"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 09 15:28:05 CDT 2021","Wed Jun 09 15:28:07 CDT 2021","1435","","Complete a purchase.","","Complete a purchase.","6.- Click on the 'cart' Button","6.- Click on the 'cart' Button","Click on the 'cart' Button"
"passed","Wed Jun 09 15:25:25 CDT 2021","Wed Jun 09 15:25:31 CDT 2021","5400","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","5.- Validate 'Sauce Labs Onesie' Product Page is displayed","5.- Validate 'Sauce Labs Onesie' Product Page is displayed","Validate 'Sauce Labs Onesie' Product Page is displayed"
"passed","Wed Jun 09 15:21:33 CDT 2021","Wed Jun 09 15:21:33 CDT 2021","23","","Add multiple items to the shopping cart.","","Add multiple items to the shopping cart.","5.- Validate all the items have been added to the shopping cart","5.- Validate all the items have been added to the shopping cart","Validate all the items have been added to the shopping cart"
"passed","Wed Jun 09 15:28:01 CDT 2021","Wed Jun 09 15:28:03 CDT 2021","2198","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
"passed","Wed Jun 09 15:24:07 CDT 2021","Wed Jun 09 15:24:49 CDT 2021","42017","","Add multiple items to the shopping cart.","","Add multiple items to the shopping cart.","1.- Open 'Swag Labs' Page","1.- Open 'Swag Labs' Page","Open 'Swag Labs' Page"
"passed","Wed Jun 09 15:27:50 CDT 2021","Wed Jun 09 15:27:54 CDT 2021","4657","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","1.- Open 'Swag Labs' Page","1.- Open 'Swag Labs' Page","Open 'Swag Labs' Page"
"passed","Wed Jun 09 15:20:57 CDT 2021","Wed Jun 09 15:21:21 CDT 2021","24209","","Login with an invalid user.","","Login with an invalid user.","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","Login with a valid 'username' and 'password'"
"passed","Wed Jun 09 15:21:33 CDT 2021","Wed Jun 09 15:21:33 CDT 2021","5","","Add multiple items to the shopping cart.","","Add multiple items to the shopping cart.","4.- Add multiple items to the shopping cart","4.- Add multiple items to the shopping cart","Add multiple items to the shopping cart"
"passed","Wed Jun 09 15:37:03 CDT 2021","Wed Jun 09 15:37:06 CDT 2021","3451","","Logout from the home page.","","Logout from the home page.","1.- Open 'Swag Labs' Page","1.- Open 'Swag Labs' Page","Open 'Swag Labs' Page"
"passed","Wed Jun 09 15:37:21 CDT 2021","Wed Jun 09 15:37:22 CDT 2021","490","","Logout from the home page.","","Logout from the home page.","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
